경도,국가,국명,분류체계,위도,지역,채집일,학명,해역
126.616417,대한민국,갈색대마디말,Ulvophyceae > Cladophorales > Cladophoraceae > Cladophora > Cladophora wrightiana var. minor,33.537579,대한민국 제주특별자치도 제주시 조천읍,2015-07-07,Cladophora wrightiana var. minor,남해서부
131.927231,대한민국,,Fictibacillus phosphorivorans,37.098331,대한민국 동해,2011-04-19,Fictibacillus phosphorivorans,동해중부
126.330338,대한민국,매생이,Ulvophyceae > Ulotrichales > Ulotrichaceae > Capsosiphon > Capsosiphon fulvescens,33.239666,대한민국 제주특별자치도 서귀포시 안덕면,2015-03-01,Capsosiphon fulvescens,남해서부
128.463287,대한민국,미끌풀,Rhodophyta > Florideophyceae > Gigartinales > Dumontiaceae > Dumontia > Dumontia simplex,38.423233,대한민국 강원도 고성군 거진읍,2017-03-01,Dumontia simplex,동해중부
128.381058,대한민국,말청각,Ulvophyceae > Bryopsidales > Codiaceae > Codium > Codium subtubulosum,34.854221,대한민국 경상남도 통영시,2014-10-29,Codium subtubulosum,남해동부
126.631477,대한민국,,Penicillium oxalicum,36.076248,대한민국 충청남도 서천군 마서면,2015-08-13,Penicillium oxalicum,서해
128.463287,대한민국,참가시그물바탕말,Phaeophyceae > Dictyotales > Dictyotaceae > Dictyopteris > Dictyopteris pacifica,38.423233,대한민국 강원도 고성군 거진읍,2017-03-01,Dictyopteris pacifica,동해중부
126.935692,대한민국,방석청각,Ulvophyceae > Bryopsidales > Codiaceae > Codium > Codium hubbsii,33.470974,대한민국 제주특별자치도 서귀포시 성산읍,2013-02-19,Codium hubbsii,남해서부
126.706764,대한민국,붉벤자리,Teleostei > Perciformes > Anthiadidae > Caprodon > Caprodon schlegelii,33.677185,대한민국 제주특별자치도 제주시,2015-10-22,Caprodon schlegelii,남해서부
127.608330,대한민국,큰수염붉은실,Rhodophyta > Florideophyceae > Ceramiales > Rhodomelaceae > Polysiphonia > Polysiphonia morrowii,34.644646,대한민국 전라남도 여수시 화양면,2016-03-24,Polysiphonia morrowii,남해서부
125.703484,대한민국,홍어,Rajiformes > Rajidae > Okamejei > Okamejei kenojei,36.435577,대한민국 충청남도 태안군,2014-04-18,Okamejei kenojei,서해
129.381134,대한민국,,Flavobacteriia > Flavobacteriales > Flavobacteriaceae > Cellulophaga > Cellulophaga baltica,37.100739,대한민국 경상북도 울진군,2011-06-21,Cellulophaga baltica,동해중부
130.936584,대한민국,,Selachinematidae > Halichoanolaimus > Halichoanolaimus minor,37.526459,대한민국 경상북도 울릉군 울릉읍 조하대,2016-06-14,Halichoanolaimus minor,동해중부
126.180908,대한민국,전력날치,Teleostei > Beloniformes > Exocoetidae > Cheilopogon > Cheilopogon doederleinii,33.127071,대한민국 제주특별자치도 서귀포시,2014-09-20,Cheilopogon doederleinii,남해서부
130.857437,대한민국,,Sarsamphiascus titoi,37.460064,대한민국 경상북도 울릉군 서면 거북바위,2019-07-24,Sarsamphiascus titoi,동해중부
126.145805,대한민국,가는낫노벌레,Copepoda > Calanoida > Centropagidae > Centropages > Centropages tenuiremis,34.276421,대한민국 전라남도 진도군,2011-05-15,Centropages tenuiremis,남해서부
128.549194,대한민국,,Vibrionales > Vibrionaceae > Vibrio > Vibrio crassostreae,38.300739,대한민국 강원도 고성군 백도,2011-05-12,Vibrio crassostreae,동해중부
126.375160,대한민국,,Vibrionales > Vibrionaceae > Vibrio > Vibrio coralliirubri,35.310490,대한민국 전라남도 영광군,2011-05-12,Vibrio coralliirubri,서해
129.463104,대한민국,뾰족아참노벌레,Subeucalanus mucronatus,37.083660,대한민국 경상북도 울진군,2011-07-20,Subeucalanus mucronatus,동해중부
126.407242,대한민국,,Mycobacteriales > Dietziaceae > Dietzia > Dietzia maris,33.212902,대한민국 제주특별자치도,2011-06-02,Dietzia maris,남해서부
126.995995,대한민국,얼룩덜룩갈줄고둥,Not assigned > Cerithiidae > Cerithium > Cerithium alutaceum,33.488998,대한민국 제주특별자치도 서귀포시 성산읍 우도 남동쪽,2024-07-30,Cerithium alutaceum,남해서부
129.343811,대한민국,상어껍질별벌레,Sipuncula > Phascolosomatidea > Phascolosomatida > Phascolosomatidae > Phascolosoma > Phascolosoma > Phascolosoma (Phascolosoma) scolops,37.219555,대한민국 강원도 삼척시 원덕읍,2012-04-18,Phascolosoma (Phascolosoma) scolops,동해중부
126.318726,대한민국,구슬청각,Ulvophyceae > Bryopsidales > Codiaceae > Codium > Codium minus,33.219082,대한민국 제주특별자치도 서귀포시 안덕면,2015-12-23,Codium minus,남해서부
